姓名,性别,民族,出生年月,籍贯,现任职务,党派,代表团,学历,学位,毕业院校,专业
马旭,男,满族,1963年09月,湖北沙市,全国人大教育科学文化卫生委员会委员，国家卫生和计划生育委员会科学技术研究所所长,民建,北京,研究生,医学硕士,华西医科大学,医学遗传学专业
马振川,男,汉族,1949年11月,北京市,全国人大代表,中共,北京,中央党校研究生,,中央党校,法学专业
王万宾,男,汉族,1949年07月,山西阳泉,中共十八届中央委员，全国人大常委会委员，全国人大民族委员会副主任委员,中共,北京,中央党校研究生,,中央党校,经济管理专业
王小珂,女,回族,1958年11月,北京,全国人大代表,,北京,大学,理学学士,北京师范学院第二分院,生物学专业
王文京,男,汉族,1964年12月,江西上饶,全国人大代表,,北京,大学,经济学学士,江西财经大学,商业会计专业
王尔乘,男,汉族,1955年10月,辽宁丹东,全国人大常委会委员、全国人大内务司法委员会委员，全国人大常委会代表资格审查委员会副主任委员，全国社会保障基金理事会党组书记、副理事长,中共,北京,在职大学,工商管理硕士,北京师范大学,中文专业
王全,男,汉族,1959年08月,北京市,全国人大代表,中共,北京,高中,,,
王安顺,男,汉族,1957年12月,河南辉县,全国人大代表,中共,北京,在职研究生,经济学硕士,南开大学,政治经济学专业
王岐山,男,汉族,1948年07月,山西天镇,全国人大代表,中共,北京,大学普通班,,西北大学,历史专业
王青海,男,汉族,1958年08月,山东文登,全国人大代表,中共,北京,中央党校研究生,工学学士,中央党校,经济管理专业
王炳深,男,汉族,1956年04月,河北东光,全国人大代表,中共,北京,研究生,法学学士,中央党校,政治学理论
王晓初,男,汉族,1953年06月,北京市,全国人大外事委员会副主任委员，人力资源和社会保障部原副部长，党组成员,中共,北京,在职研究生,理学硕士,美国西蒙斯学院,图书情报学专业
王铮,男,汉族,1964年04月,天津蓟县,全国人大代表,民进,北京,大学,,北京大学,物理专业
王蓉蓉,女,汉族,1961年04月,辽宁海城,全国人大代表,民盟,北京,研究生,文学学士,中国戏曲学院,戏曲表演专业
巨晓林,男,汉族,1962年09月,陕西岐山,全国人大代表,中共,北京,高中,,陕西省岐山县范家营高级中学,
方新,女,汉族,1955年01月,湖北武汉,全国人大常委会委员、全国人大教育科学文化卫生委员会委员（中国科学院党组原副书记）,中共,北京,研究生,工学博士,清华大学,技术经济专业
邓中翰,男,汉族,1968年09月,江苏南京,全国人大教育科学文化卫生委员会委员，中国科协副主席，欧美同学会·中国留学人员联谊会副会长，国家星光中国芯工程总指挥，中国工程院院士,,北京,研究生,电子工程学博士,美国加州大学伯克利分校,电子工程学专业
冯乐平,女,汉族,1962年02月,北京市,全国人大代表,,北京,市委党校大学,,北京市委党校,经济管理专业
朱良玉,男,汉族,1972年12月,山东巨野,全国人大代表,中共,北京,市委党校研究生,,北京市委党校,行政法专业
朱惠刚,男,汉族,1955年08月,广东台山,全国人大代表,中共,北京,中央党校大学,,中央党校大学,经济管理专业
刘忠军,男,汉族,1958年02月,北京市,全国人大代表,,北京,大学,,北京医学院(现北京大学医学部),临床医学专业
刘振所,男,汉族,1963年04月,山东莱阳,全国人大代表,中共,北京,研究生,军事学硕士,国防大学,军事学
刘晓晨,男,汉族,1950年07月,河北衡水,全国人大代表,中共,北京,市委党校研究生,,北京市委党校,经济管理专业
刘晓翠,女,汉族,1973年11月,甘肃武威,全国人大代表,中共,北京,大学,,解放军艺术学院,中国语言文学艺术
刘新成,男,汉族,1952年03月,河北固安,全国人大常委会委员、全国人大教育科学文化卫生委员会委员，民进中央专职副主席(副部长级），市十四届人大常委会副主任，北京社会主义学院院长,民进,北京,研究生,历史学博士,北京师范学院,世界史专业
闫傲霜,女,汉族,1963年08月,北京市,全国人大代表,致公党,北京,研究生,理学博士,英国曼彻斯特大学,辐射技术专业
池强,男,汉族,1952年08月,河北石家庄,全国人大代表,中共,北京,中央党校研究生,,中央党校,法律专业
苏辉,女,汉族,1956年05月,台湾台南,全国人大常委会委员，全国人大内务司法委员会副主任委员，全国人大常委会代表资格审查委员会委员，台盟中央专职副主席、全国台联副会长、北京市台联会长,台盟,北京,大学,,中央财经大学,财政学专业
杜德印,男,汉族,1951年01月,北京市,全国人大代表,中共,北京,在职研究生结业,,中国人民大学,农业经济专业
李士祥,男,汉族,1958年08月,北京市,全国人大代表,中共,北京,中央党校研究生,工学硕士,中央党校,政治学专业
李大进,男,汉族,1958年04月,河北博野,全国人大代表,中共,北京,在职大学,法学学士,北京大学,法学专业
李昭玲,女,汉族,1950年02月,山东荣成,全国人大华侨委员会委员，中国侨联副主席，致公党中央常委、北京市主委，市十四届人大常委会副主任,致公党,北京,市委党校研究生,,北京市委党校,经济管理专业
李超钢,男,汉族,1954年08月,河北顺平,全国人大代表,中共,北京,中央党校研究生,历史学学士,中央党校函授学院,法律专业
杨晓超,男,汉族,1958年11月,江苏南京,全国人大代表,中共,北京,在职研究生,经济学硕士,首都经济贸易大学,会计学专业
吴正宪,女,蒙古族,1954年08月,北京市,全国人大代表,民进,北京,市委党校大专,,北京市委党校行,行政管理专业
吴世雄,男,满族,1951年06月,北京市,全国人大代表,中共,北京,在职大专,,北京财贸学院,财政专业
吴碧霞,女,汉族,1975年07月,湖南常德,全国人大代表,民进,北京,研究生,文学硕士,中国音乐学院,声乐歌剧专业
怀进鹏,男,汉族,1962年12月,山东济南,全国人大代表,中共,北京,研究生,工学博士,北京航空航天大学,计算机专业
